name,stars
system-design-primer,340420
awesome-python,289349
project-based-learning,261871
Python,219081
tensorflow,194353
ohmyzsh,185669
CS-Notes,184047
AutoGPT,182891
Python-100-Days,180337
transformers,158482
yt-dlp,153630
HelloGitHub,147704
dify,134780
langchain,131340
hello-algo,124152
free-programming-books-zh_CN,116517
ComfyUI,107146
awesome-llm-apps,103810
pytorch,98604
fastapi,96636
thefuck,95770
markitdown,92728
LLMs-from-scratch,89375
django,87117
core,85884
manim,85587
browser-use,84793
ML-For-Beginners,84785
uv,82193
devops-exercises,81818
